,Restaurant,City,Area,Address,Food type,Price,Avg ratings,Total ratings,longitude,latitude
1564,Big Fat Sandwich,New Delhi,"Ambience Mall, Vasant Kunj","Over Bridge, Ambience Mall, Vasant Kunj, New Delhi",American,400.0,3.5,232,77.15575699,28.54155381
1565,Fashion Tv Cafe,New Delhi,"Ambience Mall, Vasant Kunj","T-319, Level 3, Ambience Mall, Vasant Kunj, New Delhi","Continental, Chinese, North Indian",1100.0,3.6,27,77.15530144,28.5414127
1566,Kylin Skybar,New Delhi,"Ambience Mall, Vasant Kunj","T-302, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi","Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",1100.0,3.6,210,77.154938,28.5414475
1567,Lemon Drops,New Delhi,"Ambience Mall, Vasant Kunj","T 314 -15, Food Court, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi","North Indian, South Indian",250.0,3.9,44,77.1552225,28.5410525
1568,Punjabi By Nature Express,New Delhi,"Ambience Mall, Vasant Kunj","3rd Floor, Food Court, Ambience Mall, Vasant Kunj, New Delhi","North Indian, Street Food, Mughlai",300.0,3.5,206,77.155099,28.5411702
1569,Red Mango,New Delhi,"Ambience Mall, Vasant Kunj","Level 2, Ambience Mall, Vasant Kunj, New Delhi","Cafe, Desserts",350.0,3.7,185,77.1553877,28.5409809
1570,Starbucks,New Delhi,"Ambience Mall, Vasant Kunj","1st Floor, Ambience Mall, Vasant Kunj, New Delhi",Cafe,350.0,3.7,256,77.15541266,28.54089671
1571,Peninsular Kitchen,New Delhi,"Ambience Mall, Vasant Kunj","Level 3, Ambience Mall, Vasant Kunj, New Delhi","Seafood, South Indian, Andhra, Hyderabadi, Goan",750.0,4.2,336,77.1550949,28.5411409
1572,Mithapur,New Delhi,Anand Lok,"4 & 5, Anand Lok Market, Opposite Gargi College, Anand Lok, New Delhi","Chinese, Fast Food, North Indian, South Indian",225.0,3.4,280,77.2187517,28.5555634
1573,Diggin,New Delhi,Anand Lok,"Anand Lok Shopping Centre, Opposite Gargi College, Anand Lok, New Delhi","Italian, Continental, Cafe",700.0,4.2,2131,77.2194983,28.5556355
1574,Aggarwal Sweet India,New Delhi,Anand Vihar,"17, DDA Market, Savita Vihar, Anand Vihar, New Delhi","Fast Food, North Indian, Chinese, Desserts",100.0,2.8,13,77.3169197,28.6603476
1575,Banzara's,New Delhi,Anand Vihar,"8, A Block, Central Market, Surajmal Vihar, Anand Vihar, New Delhi","Chinese, Fast Food",200.0,3.1,38,77.3063202,28.6594964
1576,Bobby Tikki Wala,New Delhi,Anand Vihar,"G-1, Ajnara Tower, DDA Market, Plot Number 1, Savita Vihar, Near Anand Vihar, New Delhi",Street Food,75.0,2.8,69,77.3168615,28.6603647
1577,Chennai Junction,New Delhi,Anand Vihar,"G-3, Pankaj Plaza, LSC, Surajmal Vihar, Anand Vihar, New Delhi",South Indian,250.0,3.3,11,77.3065547,28.6596493
1578,Chicken Bite,New Delhi,Anand Vihar,"G 3, Block A, Central Market, Surajmal Vihar, Anand Vihar, New Delhi",Fast Food,100.0,3.1,6,77.3065301,28.6595397
1579,Chocolate Dreams,New Delhi,Anand Vihar,"D-130, Anand Vihar, New Delhi","Bakery, Desserts",200.0,3.0,4,77.3068973,28.6594042
1580,Dial n Dine,New Delhi,Anand Vihar,"Shop 16, Ground Floor, DDA Market, Savita Vihar, Anand Vihar, New Delhi","North Indian, Chinese",325.0,3.4,80,77.316909,28.6602285
